Position;Title;Year;Genres
219;Yeopgijeogin geunyeo;2001;Comedy, Drama, Romance
220;Roman Holiday;1953;Comedy, Romance
221;Rocky;1976;Drama, Sport
222;Slumdog Millionaire;2008;Drama, Romance
223;Yip Man;2008;Action, Biography, Drama, History
224;In the Name of the Father;1993;Biography, Crime, Drama
225;Rope;1948;Crime, Drama, Mystery, Thriller
226;La haine;1995;Crime, Drama
227;Kaze no tani no Naushika;1984;Animation, Adventure, Fantasy, Sci-Fi
228;Festen;1998;Drama
229;Pirates of the Caribbean: The Curse of the Black Pearl;2003;Action, Adventure, Fantasy
230;All Quiet on the Western Front;1930;Drama, War
231;Underground;1995;Comedy, Drama, Fantasy, War
232;Tropa de Elite 2: O Inimigo Agora È Outro;2010;Action, Crime, Drama, Thriller
233;Harvey;1950;Comedy, Drama, Fantasy
234;Bom yeoreum gaeul gyeoul geurigo bom;2003;Drama, Romance
235;The Exorcist;1973;Horror
236;La dolce vita;1960;Comedy, Drama
237;Fa yeung nin wah;2000;Drama, Romance
238;The Artist;2011;Comedy, Drama, Romance
239;Trois couleurs: Rouge;1994;Drama, Mystery, Romance
240;A Streetcar Named Desire;1951;Drama
241;Star Trek;2009;Action, Adventure, Sci-Fi
242;Bronenosets Potemkin;1925;Drama, History, Thriller, War
243;Bringing Up Baby;1938;Comedy, Family, Romance
244;Le scaphandre et le papillon;2007;Biography, Drama
245;Monsters, Inc.;2001;Animation, Adventure, Comedy, Family, Fantasy
246;Rio Bravo;1959;Action, Drama, Western
247;Tenk˚ no shiro Rapyuta;1986;Animation, Adventure, Drama, Family, Fantasy, Sci-Fi
248;His Girl Friday;1940;Comedy, Drama, Romance
249;Per un pugno di dollari;1964;Action, Drama, Western
250;The Help;2011;Drama
251;Das Cabinet des Dr. Caligari;1920;Fantasy, Horror, Mystery, Thriller
252;The Philadelphia Story;1940;Comedy, Romance
253;Arsenic and Old Lace;1943;Comedy, Crime, Thriller
254;The Truman Show;1998;Comedy, Drama
255;Shutter Island;2010;Mystery, Thriller
256;Papillon;1973;Biography, Crime, Drama
257;A Christmas Story;1983;Comedy, Family
258;Beauty and the Beast;1991;Animation, Family, Fantasy, Musical, Romance
259;Ratatouille;2007;Animation, Adventure, Comedy, Family, Fantasy
260;District 9;2009;Action, Sci-Fi, Thriller
261;Shadow of a Doubt;1943;Film-Noir, Thriller
262;Before Sunrise;1995;Drama, Romance
263;The Searchers;1956;Adventure, Drama, Western
264;Jurassic Park;1993;Action, Adventure, Sci-Fi, Thriller
265;Duck Soup;1933;Comedy, Musical, War
266;In the Heat of the Night;1967;Crime, Drama, Mystery, Thriller
267;Solyaris;1972;Drama, Mystery, Sci-Fi
268;Charade;1963;Comedy, Mystery, Romance, Thriller
269;Nosferatu, eine Symphonie des Grauens;1922;Fantasy, Horror
270;Chung Hing sam lam;1994;Comedy, Crime, Drama, Mystery, Romance
271;The Lady Vanishes;1938;Mystery, Thriller
272;Aguirre, der Zorn Gottes;1972;Action, Adventure, Biography, Drama, History
273;Patton;1970;Biography, Drama, War
274;Paris, Texas;1984;Drama
275;The Adventures of Robin Hood;1938;Action, Adventure, Romance
276;Rosemary's Baby;1968;Drama, Horror
277;Manhattan;1979;Comedy, Drama, Romance
278;The Nightmare Before Christmas;1993;Animation, Family, Fantasy, Musical
279;Frankenstein;1931;Drama, Horror, Sci-Fi, Thriller
280;Harold and Maude;1971;Comedy, Drama, Romance
281;King Kong;1933;Adventure, Horror, Sci-Fi
282;Rain Man;1988;Drama
283;Mar adentro;2004;Biography, Drama
284;All the President's Men;1976;Biography, Drama, History, Thriller
285;Crna macka, beli macor;1998;Comedy, Crime, Romance
286;Big Fish;2003;Adventure, Drama, Fantasy, Romance
287;Bin-jip;2004;Crime, Drama, Romance
288;Magnolia;1999;Drama
289;Dawn of the Dead;1978;Horror, Thriller
290;LÂt den r‰tte komma in;2008;Crime, Drama, Fantasy, Horror, Romance
291;JFK;1991;Drama, History, Thriller
292;Night of the Living Dead;1968;Horror, Thriller
293;Shaun of the Dead;2004;Comedy, Horror
294;Young Frankenstein;1974;Comedy
295;Mystic River;2003;Crime, Drama, Mystery, Thriller
296;The Straight Story;1999;Biography, Drama
297;Spartacus;1960;Adventure, Biography, Drama, History, War
298;The Untouchables;1987;Crime, Drama, Thriller
299;The Conversation;1974;Drama, Mystery, Thriller
300;Planet of the Apes;1968;Adventure, Sci-Fi
301;Edward Scissorhands;1990;Drama, Fantasy, Romance
302;Der Himmel ¸ber Berlin;1987;Drama, Fantasy, Romance
303;Blood Diamond;2006;Adventure, Drama, Thriller
304;The Wrestler;2008;Drama, Sport
305;The African Queen;1951;Adventure, Drama, Romance, War
306;Before Sunset;2004;Drama, Romance
307;Being There;1979;Comedy, Drama
308;Doctor Zhivago;1965;Drama, Romance, War
309;Bonnie and Clyde;1967;Action, Biography, Crime, Drama
